PC1,PC2,label
-0.582869441188061,0.8445856249483202,rice
-0.47463491291350085,0.7848945278154915,rice
-0.6340683841879632,0.6945224579897329,rice
-1.0479196918868705,1.0876577712218742,rice
-0.8732575638501783,0.6586729573921152,rice
-0.847282458991704,0.9351096801236257,rice
-0.15233992780572872,1.3809063620646886,rice
-0.23673488353656671,1.2920757215307868,rice
-0.6489928172808709,1.2222831406287655,rice
-0.22863503828464232,0.9787499659515916,rice
-0.40223775287674507,1.8741050263755428,rice
-1.000916701626887,1.008761239031423,rice
-0.10363614540617345,1.9696941912105586,rice
-0.6697972532286093,0.8409899860250604,rice
-0.8692367825885221,1.0591769753516131,rice
-0.6021649933435205,0.7368646295490969,rice
-0.6995436508429493,1.3219356261486828,rice
-1.0359110654128485,0.862459855658418,rice
-0.5438728843048393,0.9642069271717393,rice
-0.7844661782218016,1.6983354556973203,rice
-0.5754041162385136,0.7055559984170096,rice
-0.30752459209140254,1.6153019740296204,rice
0.0011350794341554984,0.8794725654023642,rice
-0.5212180304939893,1.0451757046674066,rice
-1.0155264024370327,0.914006588516742,rice
-0.8133370767151494,0.798160350891433,rice
-0.5713476770839649,1.8054913030797923,rice
-0.899511520277562,1.2566564217246892,rice
-0.16493364366209523,0.931021913291827,rice
-0.3705310013696502,0.9156451286256018,rice
-0.1007813549461307,1.3920702483146368,rice
-0.7757081281875896,0.9019344447001353,rice
-0.8320296883906824,1.2094788807986188,rice
-0.12082859217958138,1.6258351088681147,rice
-0.46562986169046355,1.511998082806997,rice
-0.45633838165636115,1.4295365593146974,rice
-0.6386115730804165,1.8078895010135032,rice
-0.729662862421178,1.8006581522444993,rice
-0.708089401289466,0.8647629412488296,rice
-0.292544342563491,1.4300537571417842,rice
-0.558711925849832,0.9516333262219075,rice
-0.24068880200028583,1.3130855866984565,rice
-0.5673041885198912,0.9086721103718641,rice
-0.7840991793569259,1.626987943829237,rice
-0.8454427694381869,1.3437563732019175,rice
-0.8196612035653571,1.0580916714334907,rice
-0.13448159224499368,1.4294858533952608,rice
-1.0938577388208937,0.7163626404078244,rice
-0.7260798185147285,0.6185800006924455,rice
-0.8678529547646902,0.9834053663279579,rice
-0.23021820172720067,1.219704408175014,rice
-0.21060462119637613,0.5548158597969336,rice
-0.7197364274150255,0.8072467479076688,rice
0.14322750864180883,1.0810797888357078,rice
-0.5736312340897358,2.0166583850238666,rice
-0.7261143823621177,1.4668441919055393,rice
-0.6841143977235989,0.9722339104377367,rice
-0.758376200851328,1.627600506148316,rice
-0.5620246067660001,0.3541451479945768,rice
